Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.034189323149074,-0.000757265065663189,0.0212326499911939,0,0,0,0.00187963056678342,4.67648900046542E-07,-6.20165257082959E-09,-1.41758459243068E-24,4.59239386606631E-07,3.04784998736678E-23,9.26575014892043E-07,0,0,0,0,0,0,package://cube-06/meshes/base_link.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://cube-06/meshes/base_link.STL,,cube-06 v1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
black,0.0251511324547381,0.000500000000000004,0.0257572650656632,0,0,0,0.00187963056678343,4.67648900046543E-07,-9.35650608655308E-25,6.2016525708296E-09,9.26575014892044E-07,7.82826049599551E-26,4.59239386606632E-07,0,0,0,0,0,0,package://cube-06/meshes/black.STL,1,1,1,1,0,0,0,0,0,0,package://cube-06/meshes/black.STL,,cube-06-2-1,Origin_j1,,j1,fixed,-0.05934,0.025,0.020733,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
